ParticipantID	HurricaneName	Rating	HurricaneGender	HurricaneAge
86	Marco	5	male	young
87	Arthur	5.5	male	old
87	Bertha	5	female	old
87	Cristobal	4	male	young
87	Dolly	5	female	old
87	Fay	7	female	old
87	Omar	3.5	male	young
87	Kyle	4	male	young
87	Laura	2.5	female	old
87	Hanna	2.5	female	young
87	Marco	4.5	male	young
88	Arthur	5	male	old
88	Bertha	6	female	old
88	Cristobal	2	male	young
88	Dolly	4	female	old
88	Fay	2	female	old
88	Omar	4	male	young
88	Kyle	3	male	young
88	Laura	1	female	old
88	Hanna	7	female	young
88	Marco	5	male	young
89	Arthur	3	male	old
89	Bertha	4	female	old
89	Cristobal	3	male	young
89	Dolly	4	female	old
89	Fay	4	female	old
89	Omar	6	male	young
89	Kyle	6	male	young
89	Laura	7	female	old
89	Hanna	5	female	young
89	Marco	5	male	young
90	Arthur	3	male	old
90	Bertha	4	female	old
90	Cristobal	4	male	young
90	Dolly	2	female	old
90	Fay	6	female	old
90	Omar	5	male	young
90	Kyle	3	male	young
90	Laura	4	female	old
90	Hanna	5	female	young
90	Marco	5	male	young
91	Arthur	5	male	old
91	Bertha	5	female	old
91	Cristobal	6	male	young
91	Dolly	6	female	old
91	Fay	4	female	old
91	Omar	3	male	young
91	Kyle	5	male	young
91	Laura	5	female	old
91	Hanna	5.5	female	young
91	Marco	5	male	young
92	Arthur	4	male	old
92	Bertha	4	female	old
92	Cristobal	4	male	young
92	Dolly	4	female	old
92	Fay	4	female	old
92	Omar	4	male	young
92	Kyle	3	male	young
92	Laura	4	female	old
92	Hanna	4	female	young
92	Marco	4	male	young
93	Arthur	1.5	male	old
93	Bertha	6	female	old
93	Cristobal	1.5	male	young
93	Dolly	2.5	female	old
93	Fay	2.5	female	old
93	Omar	4.5	male	young
93	Kyle	2	male	young
93	Laura	1	female	old
93	Hanna	2.5	female	young
93	Marco	3.5	male	young
94	Arthur	3	male	old
94	Bertha	4	female	old
94	Cristobal	6	male	young
94	Dolly	4	female	old
94	Fay	1	female	old
94	Omar	2	male	young
94	Kyle	2	male	young
94	Laura	3	female	old
