HouseholdSize,Adults_D,H2O_Cost,Under17,Child1_D,Barcode_ID,Has_Barcode
5,0,0,3,0,125056,Yes
3,0,0,0,NA,125061,Yes
5,0,0,0,NA,125041,Yes
5,0,0,1,0,125042,Yes
3,0,0,0,NA,125043,Yes
2,0,0,0,NA,125044,Yes
5,0,0,3,0,125045,Yes
4,0,0,0,NA,125046,Yes
5,0,0,0,NA,125047,Yes
4,0,0,2,0,125058,Yes
5,0,0,1,3,125026,Yes
3,0,0,2,0,125027,Yes
2,0,0,0,NA,125028,Yes
2,0,0,3,0,125032,Yes
2,0,0,1,0,125034,Yes
2,0,6,0,NA,125035,Yes
2,0,0,3,0,125036,Yes
3,1,0,0,NA,125037,Yes
5,0,0,0,NA,125049,Yes
3,0,0,5,0,125051,Yes
4,0,0,0,NA,125052,Yes
2,NA,0,2,0,125060,Yes
5,0,0,2,0,5062,No
3,1,0,0,NA,125022,Yes
2,0,0,0,NA,125023,Yes
1,0,0,0,NA,125024,Yes
2,0,0,3,0,125029,Yes
3,0,0,0,NA,125030,Yes
2,0,0,2,0,125031,Yes
3,0,0,0,NA,125038,Yes
3,0,0,0,NA,125040,Yes
4,0,0,0,NA,125048,Yes
2,0,0,3,0,125050,Yes
3,0,0,5,0,NA,No
3,0,0,5,0,125021,Yes
2,0,0,1,0,125221,Yes
4,0,0,2,0,125194,Yes
2,0,0,4,0,125222,Yes
4,0,0,5,0,125223,Yes
1,0,0,0,NA,125225,Yes
1,0,0,3,0,125226,Yes
2,0,0,3,0,125229,Yes
5,0,0,2,0,125230,Yes
2,0,0,1,0,110000,No
7,0,0,1,0,NA,No
4,0,0,4,0,NA,No
7,0,0,1,0,NA,No
4,0,0,4,0,NA,No
3,0,0,3,0,NA,No
2,0,10,3,NA,NA,No
3,0,0,3,0,NA,No
8,0,0,2,0,NA,No
3,0,0,0,NA,NA,No
3,0,0,0,NA,NA,No
2,0,0,0,NA,NA,No
2,1,5,0,NA,NA,No
2,0,0,1,0,NA,No
8,0,0,2,0,NA,No
3,1,10,3,NA,NA,No
2,0,0,2,0,NA,No
2,0,0,2,0,NA,No
1,0,0,4,0,NA,No
2,0,0,0,NA,NA,No
3,0,0,2,0,NA,No
2,0,0,3,0,NA,No
2,0,0,0,NA,NA,No
2,0,0,3,0,NA,No
2,0,0,3,0,NA,No
4,0,0,4,0,NA,No
5,0,0,7,0,NA,No
3,0,0,3,0,NA,No
2,0,0,1,0,NA,No
2,0,0,2,0,NA,No
3,0,10,1,1,NA,No
3,0,0,2,0,NA,No
5,0,0,3,0,NA,No
2,0,0,2,0,NA,No
2,0,0,2,0,NA,No
2,0,0,1,0,NA,No
2,0,0,1,0,NA,No
2,0,0,3,0,NA,No
2,0,0,2,0,NA,No
2,0,0,2,0,NA,No
2,0,0,1,0,NA,No
7,0,0,1,0,NA,No
2,1,10,4,NA,NA,No
2,0,10,3,NA,NA,No
2,0,0,3,NA,NA,No
4,0,20,3,NA,NA,No
2,0,10,8,NA,NA,No
3,0,NA,2,NA,NA,No
2,NA,10,1,NA,NA,No
5,NA,10,3,NA,NA,No
3,1,10,4,NA,NA,No
2,0,10,1,NA,NA,No
5,0,0,NA,NA,NA,No
2,0,10,1,NA,NA,No
3,0,6,3,0,125092,Yes
11,0,0,9,0,125105,Yes
2,1,20,3,7,125091,Yes
2,0,0,3,0,125097,Yes
2,2,0,1,0,125063,Yes
2,0,0,2,0,125074,Yes
2,0,0,0,NA,NA,No
2,1,0,1,2,NA,No
1,0,0,0,NA,112006,Yes
4,0,0,0,NA,112018,Yes
7,1,0,7,0,112019,Yes
4,1,0,0,NA,112020,Yes
4,1,0,2,0,112023,Yes
2,0,0,1,0,112028,Yes
4,0,0,5,0,112030,Yes
3,0,0,2,0,112031,Yes
2,1,0,0,NA,112032,Yes
6,1,0,6,0,112055,Yes
5,1,0,2,5,112056,Yes
2,0,0,3,0,112063,Yes
2,0,0,2,0,112065,Yes
2,0,0,0,NA,112066,Yes
3,0,0,2,0,112067,Yes
1,0,0,5,0,112075,Yes
2,1,0,1,0,112092,Yes
4,0,0,0,NA,112093,Yes
2,0,0,3,1,112095,Yes
2,0,0,3,0,112102,Yes
5,2,0,3,0,112109,Yes
4,0,0,2,0,112115,Yes
2,0,0,3,7,112119,Yes
2,0,0,4,0,112120,Yes
8,1,0,1,0,112122,Yes
3,2,0,5,0,112123,Yes
4,0,0,4,0,112124,Yes
4,0,0,4,0,112126,Yes
2,0,0,1,0,112137,Yes
3,0,0,4,0,112143,Yes
2,0,0,1,0,112243,Yes
3,2,0,1,3,112245,Yes
3,0,0,2,0,112248,Yes
2,0,0,0,NA,NA,No
5,1,0,0,NA,112000,Yes
2,0,0,2,0,112014,Yes
2,0,0,1,0,112025,Yes
7,1,0,4,0,112027,Yes
3,0,0,3,2,112040,Yes
2,0,0,4,0,112042,Yes
6,2,0,3,7,112053,Yes
2,0,0,2,0,112058,Yes
3,0,20,0,NA,112064,Yes
4,0,0,3,0,112074,Yes
4,0,0,2,0,112076,Yes
1,0,0,4,0,112077,Yes
4,1,0,4,0,112104,Yes
2,0,0,4,2,112107,Yes
2,0,0,0,NA,112136,Yes
5,0,0,1,0,112145,Yes
9,0,0,0,NA,112147,Yes
7,1,0,3,0,112158,Yes
4,0,0,1,0,112167,Yes
2,1,0,1,4,112169,Yes
3,2,0,2,0,112174,Yes
9,3,0,3,0,112175,Yes
4,1,0,0,NA,112176,Yes
2,0,0,0,NA,112182,Yes
2,0,0,3,0,112184,Yes
4,0,0,5,0,112213,Yes
4,0,0,3,0,112214,Yes
3,0,0,1,7,112223,Yes
1,0,0,1,7,112226,Yes
4,1,0,2,4,112246,Yes
2,1,0,4,0,112249,Yes
2,0,0,3,0,112193,Yes
5,0,0,0,NA,112227,Yes
5,0,0,0,NA,112244,Yes
2,0,0,2,0,112247,Yes
